
==============================================
   CO400 RAW PWM FRAME LOGGER v0.4.4-LED ACTIVE
==============================================

BURST led=18 horn=1

?t=4771 ms  Bits=66  FRAME: 0x55 0x40 0x95 0x2A 0x10 0x25 0x28 0x01 | STATE=NORMAL
?t=4772 ms  Bits=66  FRAME: 0x55 0x40 0x95 0x2A 0x10 0x25 0x28 0x01 | STATE=NORMAL
?t=5197 ms  Bits=65  FRAME: 0x55 0x40 0x95 0x2A 0x10 0x25 0x28 0x01 | STATE=NORMAL
BURST led=1 horn=0

?t=4770 ms  Bits=64  FRAME: 0x55 0x40 0x95 0x2A 0x44 0x09 0x4A 0x80 | STATE=NORMAL
?t=4772 ms  Bits=63  FRAME: 0x55 0x40 0x95 0x2A 0x44 0x09 0x4A | STATE=NORMAL
?t=4772 ms  Bits=64  FRAME: 0x55 0x40 0x95 0x2A 0x44 0x09 0x4A 0x80 | STATE=NORMAL
?t=4771 ms  Bits=64  FRAME: 0x55 0x40 0x95 0x2A 0x44 0x09 0x4A 0x80 | STATE=NORMAL
?t=4772 ms  Bits=64  FRAME: 0x55 0x40 0x95 0x2A 0x44 0x09 0x4A 0x80 | STATE=NORMAL
?t=4772 ms  Bits=64  FRAME: 0x55 0x40 0x95 0x2A 0x44 0x09 0x4A 0x80 | STATE=NORMAL
?t=4770 ms  Bits=64  FRAME: 0x55 0x40 0x95 0x2A 0x44 0x09 0x4A 0x80 | STATE=NORMAL
?t=4772 ms  Bits=64  FRAME: 0x55 0x40 0x95 0x2A 0x44 0x09 0x4A 0x80 | STATE=NORMAL
?t=2530 ms  Bits=61  FRAME: 0x55 0x40 0x51 0x85 0x08 0x82 0x12 | STATE=NORMAL
?t=2527 ms  Bits=63  FRAME: 0x55 0x40 0x41 0x15 0x22 0x08 0x4A | STATE=NORMAL
BURST led=1 horn=0

?t=2841 ms  Bits=63  FRAME: 0x55 0x40 0x95 0x2A 0x44 0x01 0x25 | STATE=NORMAL
?t=4777 ms  Bits=63  FRAME: 0x55 0x40 0x95 0x2A 0x44 0x01 0x25 | STATE=NORMAL
?t=4776 ms  Bits=63  FRAME: 0x55 0x40 0x95 0x2A 0x44 0x01 0x25 | STATE=NORMAL
?t=4777 ms  Bits=62  FRAME: 0x55 0x40 0x95 0x2A 0x44 0x01 0x25 | STATE=NORMAL
